,3Y realised21,3Y GARCH,10Y realised21,10Y GARCH
2022-09-29,12.85836581485267,15.453409405365708,9.240341160471546,9.592365242342181
2022-09-30,13.2336925703909,14.698503113759418,9.955630137192298,9.613502146253301
2022-10-04,13.58298480417601,14.429881508777871,10.243432274482256,10.022552451007993
2022-10-05,13.553767706716062,14.16745311159324,10.311957922260747,9.965186715636555
2022-10-06,13.280592714828014,13.825083601957807,10.088184979989027,10.064595114153803
2022-10-07,13.306786668034155,13.135854597997737,10.09437844497997,9.729711130859213
2022-10-11,13.309370132855024,13.107236937333722,10.215166129222721,9.810487573179802
2022-10-12,14.595899619903037,12.616661384934263,11.544864865467455,9.816731728120354
2022-10-13,14.228268308111812,14.234188082921841,11.388436073073267,10.982151139970036
2022-10-14,14.18754651764977,13.871998432855639,11.471550731722218,11.176469482035815
2022-10-17,14.179488875199441,13.161976735431246,11.48359285075473,10.87632462447888
2022-10-18,13.748923767404655,12.588746924492002,11.075393145768398,10.594799956994697
2022-10-19,13.809108450239503,11.94518165716457,11.211909059651932,10.335196015789604
2022-10-20,13.786910631533976,11.65804452658588,11.206492590925874,10.428510615395124
2022-10-21,13.887596384303988,11.071745905679261,11.694412585259942,10.10881832019428
2022-10-24,14.417748651938556,11.090266428216268,12.068940853833604,10.839172790713432
2022-10-25,13.518727750790747,11.50936667228323,12.704584849198202,10.779044987055007
2022-10-26,13.377790763585953,11.372302015163653,12.55971640565489,11.374378639704023
2022-10-27,10.881570264836382,10.792396407055127,11.740682222410221,11.091171678958414
2022-10-28,10.083177881525055,10.328370244330321,11.83973535740279,10.75244519714981
2022-10-31,10.1548252663685,10.759557179920648,11.5804967407234,10.982380572600444
2022-11-01,10.411705866361133,10.358799803827793,11.545155652810386,10.696391773422231
2022-11-02,10.143520099058309,10.484901064091162,11.067186591343775,10.593094688324769
2022-11-03,9.95898971735969,9.970953349458686,10.903101349965505,10.239060672136738
2022-11-04,9.723626111791045,9.757499789398828,10.632284617638712,9.995055741103851
2022-11-07,9.795898072541332,9.310000408121473,10.691819302625747,9.661763711747758
2022-11-08,9.37357989244237,9.019914060384197,10.432479046114565,9.45123148459068
2022-11-09,9.296322877762961,8.61491991757608,10.240405497923666,9.141938855988824
2022-11-10,7.750778762716138,8.418645793460788,9.397932903417818,8.93995464822207
2022-11-11,8.447518655118284,8.208291035972916,9.478193016453256,9.138386423771292
2022-11-14,8.479243564644868,9.985136082908557,9.505910442105677,9.77547061399133
2022-11-15,8.554734139087905,9.496197651437718,9.53538522706722,9.491398743460428
2022-11-16,8.761191482354214,9.63029712953188,9.53538522706722,9.455161110751678
2022-11-17,8.434125692119846,9.369964356929689,9.025941449379077,9.246438754190683
2022-11-18,8.386871827303606,8.894276711729974,8.947657315106103,9.032273858713136
2022-11-21,8.014516591191017,8.48033121908267,7.46626699610609,8.835336713234737
2022-11-22,7.587464599431019,8.258105748669154,7.4313460935354705,8.578571081251848
2022-11-23,7.3729428123569205,7.849640987284442,6.658088528785351,8.303421253260844
2022-11-24,7.886184423528566,7.472861764120074,7.171116005330344,8.03596715668824
2022-11-25,7.75052379182329,8.52362918105507,7.0527704789374575,8.674377018012652
2022-11-28,7.403129968691157,8.2518169912638,6.620232336593361,8.387309999398632
2022-11-29,7.354405870924283,7.8744167973611425,6.739058150951428,8.122981456100106
2022-11-30,7.045204380421101,7.611652877431389,6.629942899991143,8.053132207800534
2022-12-01,7.060615108776685,7.229692020494472,6.613204683848543,7.796989166410373
2022-12-02,6.710375761247856,7.150458943908456,6.496240671122252,7.5576129304736055
2022-12-05,6.715199532545897,6.84476179657152,6.462507253380845,7.620765234761009
2022-12-06,6.574923501275045,6.5145799120559795,6.1399782844350055,7.426878917466763
2022-12-07,6.75948011525822,6.2614422886152905,6.262153896908915,7.235077970042062
2022-12-08,6.717103258881469,6.1251372716521475,6.297164894957554,7.027168211860133
2022-12-09,6.664179297879489,5.821498805469438,6.009765861852339,6.798739052581299
